id,target,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin
642026,0,4,1,5,1,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0.7,1.4,1.3683932183,10,1,-1,0,1,11,1,1,0,1,16,3,0.4217819342,0.5967196831,0.3734969878999999,1.4142135624,0.0,0.3,0.2,5,0,8,3,9,3,7,7,3,2,3,0,1,0,1,0,0
297043,0,6,2,10,1,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0.9,1.4,1.7984368212,10,0,-1,0,1,5,1,1,0,1,104,1,0.4242640687,1.2378250053,0.4460941604999999,3.1622776602,0.3,0.8,0.3,1,1,8,4,8,4,9,6,3,3,5,0,1,1,0,0,0
140591,0,4,1,9,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0.1,0.1,-1.0,11,1,0,0,1,1,1,1,1,1,31,3,0.4,0.5466275267,-1.0,1.0,0.2,0.6,0.3,5,1,8,2,8,2,12,3,1,0,7,0,0,1,0,0,0
1354540,0,0,1,7,1,4,0,1,0,0,0,0,0,0,0,3,0,0,1,0.9,1.3,0.8689073598,11,1,1,0,1,15,1,0,2,1,97,3,0.3605551275,0.8741465731999999,0.2983286778,3.6055512755,0.4,0.8,0.1,3,2,7,4,10,2,5,1,1,3,6,1,1,0,0,0,0
873173,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,12,0,1,0,0.6,0.4,0.7416198487000001,11,1,-1,0,-1,1,1,1,2,1,38,3,0.316227766,0.7401648520999999,0.3598610843,3.4641016151,0.0,0.8,0.9,3,2,10,3,11,3,10,6,1,5,6,0,1,0,0,0,0
821910,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.1,0.3,-1.0,5,1,0,0,0,6,1,1,0,1,26,3,0.4,0.6300006559,0.3204684071999999,2.6457513111,0.2,0.9,0.9,1,3,10,3,10,2,9,5,2,2,10,0,0,1,0,1,0
439409,0,4,1,4,1,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0.7,0.2,0.5172040216,7,1,0,0,0,0,1,1,2,1,22,3,0.316227766,0.8089804572,0.310322413,3.4641016151,0.7,0.0,0.5,5,1,6,3,10,7,10,3,2,9,9,0,0,1,0,0,0
77431,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0.2,0.2,-1.0,11,1,0,1,1,16,1,1,2,1,104,2,0.4,0.9061429475,0.3885871846,3.1622776602,0.5,0.6,0.2,2,3,9,1,11,3,6,10,1,3,6,0,1,1,0,0,0
917681,0,4,2,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0.8,1.2,1.3273563952,4,1,-1,0,0,1,1,1,0,1,70,3,0.3741657387,0.7642313699,0.3937003937,3.1622776602,0.9,0.1,0.8,3,2,9,6,11,1,9,5,2,4,6,0,0,1,0,1,0
689844,0,1,1,3,0,3,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,0.3,0.8147085368000001,11,1,-1,0,-1,0,1,1,1,1,22,3,0.316227766,0.7842983915,0.374566416,3.4641016151,0.3,0.8,0.0,2,2,5,4,8,0,10,7,1,2,6,1,0,1,0,0,0
